danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_
60.0,84.0,-5.0,6.0,0.0,,7.0,53.0,128.0,228.0,1
0.3379999999999999,0.8029999999999999,-5.412000000000001,0.0413,0.0187,0.0,0.136,0.4,151.994,241853.0,1
0.562,0.8809999999999999,-4.72,0.064,0.0456,0.0,0.3339999999999999,0.445,77.969,-1.0,0
0.49,0.903,-7.657,0.304,0.0443,0.000172,0.139,0.631,88.551,201158.0,0
0.485,0.738,-8.884,0.1009999999999999,0.406,8.77e-05,0.514,0.484,114.713,260947.0,1
0.236,0.187,-22.723000000000003,0.0551,0.988,0.92,0.159,0.215,147.24200000000002,-1.0,0
0.645,0.657,-5.688,0.0334,0.354,5.17e-06,0.213,0.136,104.931,228227.0,1
0.61,0.877,-3.613,0.0333,0.00893,0.0,0.151,0.705,116.03399999999999,205187.0,0
0.604,0.789,-6.259,0.0273,0.0011,0.83,0.368,0.347,0.0,275227.0,0
0.714,0.666,-6.012,0.0756,0.223,0.0,0.102,0.486,95.065,178261.0,0
0.433,0.21,-10.583,0.0334,0.6920000000000001,2.04e-05,0.108,0.182,89.189,191147.0,0
0.758,0.474,-8.72,0.146,0.015,0.0,0.1159999999999999,0.0541,0.0,184960.0,1
0.753,0.7040000000000001,-5.562,0.0843,0.259,0.143,0.103,0.8,93.95100000000001,91465.0,0
38.0,26.0,-9.0,3.0,88.0,,17.0,52.0,114.0,134.0,1
0.3,0.0432,-20.705,0.0426,0.982,0.131,0.0894,0.225,134.284,-1.0,0
0.607,0.45,-8.507,0.0338,0.0663,1.12e-05,0.107,0.121,105.992,244907.0,1
0.565,0.861,-3.907,0.0438,0.0136,0.000182,0.263,0.753,148.003,-1.0,0
0.564,0.932,-10.068,0.0554,0.013,0.1689999999999999,0.349,0.619,112.93700000000001,146250.0,1
82.0,81.0,-8.0,7.0,7.0,,60.0,44.0,128.0,308.0,1
0.501,0.889,-5.175,0.0364,0.000147,0.0114,0.217,0.257,133.519,292880.0,1
0.568,0.527,-10.206,0.0249,0.156,0.0,0.136,0.7609999999999999,104.93,193613.0,0
0.5589999999999999,0.882,-4.281000000000001,0.157,0.0314,1.7100000000000002e-05,0.605,0.634,126.064,205933.0,1
0.856,0.295,-9.799,0.0472,0.213,0.000269,0.115,0.2289999999999999,124.988,188227.0,0
0.8320000000000001,0.71,-5.541,0.231,0.0563,0.0,0.086,0.373,135.107,212444.0,1
0.239,0.024,-28.86,0.0518,0.99,0.3929999999999999,0.1,0.0411,135.626,273733.0,0
0.386,0.1889999999999999,-16.654,0.0342,0.933,0.931,0.124,0.2689999999999999,136.415,155733.0,0
0.831,0.47,-7.48,0.425,0.0371,0.0,0.144,0.3389999999999999,75.47399999999999,242307.0,1
0.508,0.5670000000000001,-11.415,0.347,0.153,0.00446,0.139,0.389,146.303,-1.0,0
0.413,0.928,-3.671,0.321,0.106,0.0,0.331,0.469,83.20299999999999,281980.0,0
0.0,0.0,-60.0,0.0,0.0,,0.0,0.0,0.0,227.0,0
53.0,74.0,-6.0,4.0,0.0,,24.0,45.0,130.0,186.0,0
0.445,0.597,-7.619,0.32,0.198,0.000744,0.198,0.373,79.92,215696.0,0
0.782,0.586,-6.067,0.0567,0.0608,0.00409,0.115,0.724,120.018,156000.0,0
0.509,0.924,-2.9410000000000003,0.209,0.000386,0.0012699999999999,0.163,0.363,137.99200000000002,202227.0,0
52.0,4.0,-15.0,4.0,99.0,,9.0,26.0,110.0,310.0,0
0.688,0.82,-4.715,0.155,0.233,0.0,0.091,0.804,107.833,208254.0,1
0.365,0.7509999999999999,-5.428999999999999,0.304,0.000707,0.0,0.318,0.604,79.119,248587.0,1
0.0665,0.0232,-29.842,0.039,0.976,0.94,0.154,0.0375,69.929,358093.0,0
0.186,0.124,-15.271,0.0434,0.978,0.865,0.111,0.248,77.903,-1.0,0
69.0,72.0,-6.0,11.0,14.0,,5.0,41.0,100.0,234.0,1
0.911,0.529,-7.996,0.3279999999999999,0.201,0.0,0.1009999999999999,0.76,105.06700000000001,192571.0,1
0.712,0.803,-7.206,0.0276,0.00537,9.81e-05,0.307,0.308,120.018,201005.0,0
64.0,81.0,-5.0,33.0,2.0,,8.0,91.0,93.0,197.0,1
0.884,0.657,-4.569,0.0977,0.00589,0.0,0.154,0.489,107.059,234693.0,1
45.0,86.0,-5.0,39.0,7.0,,26.0,58.0,80.0,329.0,0
0.767,0.481,-8.52,0.0803,0.234,0.0,0.269,0.761,150.076,171375.0,1
78.0,72.0,-6.0,4.0,13.0,,7.0,71.0,118.0,246.0,1
0.581,0.8170000000000001,-6.542000000000001,0.0382,0.211,1.42e-06,0.246,0.779,141.607,272507.0,1
0.943,0.677,-6.033,0.246,0.165,0.0,0.327,0.615,112.001,145760.0,1
0.282,0.872,-4.937,0.118,0.0756,0.0,0.153,0.506,80.497,196293.0,0
0.8220000000000001,0.505,-7.383999999999999,0.147,0.0317,0.0009109999999999,0.114,0.523,73.003,210200.0,1
0.87,0.35,-6.082000000000001,0.2769999999999999,0.0066099999999999,0.000483,0.108,0.175,74.96300000000001,168347.0,1
0.162,0.145,-19.375,0.045,0.98,0.175,0.1009999999999999,0.0388,86.90899999999999,265120.0,0
0.33,0.936,-3.66,0.0917,0.00108,0.0,0.0926,0.2339999999999999,148.112,222587.0,1
0.613,0.555,-9.801,0.072,0.58,1.64e-06,0.119,0.556,127.26700000000001,166680.0,0
0.8320000000000001,0.439,-9.594,0.0996,0.606,5.45e-06,0.11,0.53,145.004,225103.0,1
0.836,0.67,-6.907,0.23,0.00826,0.0003549999999999,0.0837,0.556,107.01799999999999,305350.0,1
0.418,0.3829999999999999,-11.782,0.0257,0.0718,0.0177,0.0896,0.352,87.773,257480.0,1
93.0,80.0,-6.0,8.0,27.0,,10.0,90.0,120.0,202.0,1
0.561,0.897,-4.011,0.111,0.0263,0.000551,0.0622,0.527,79.687,267680.0,0
0.562,0.542,-7.221,0.053,0.00932,0.348,0.635,0.26,78.031,250400.0,0
0.754,0.728,-7.61,0.0809,0.0412,0.0,0.106,0.594,140.007,163086.0,1
0.623,0.93,-5.285,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205613.0,1
0.574,0.701,-6.037999999999999,0.0572,0.0248,3.12e-05,0.313,0.25,145.069,182320.0,0
0.607,0.939,-4.95,0.0375,0.0166,0.0081,0.0941,0.764,157.957,243067.0,0
0.91,0.444,-8.126,0.344,0.022,0.0,0.1369999999999999,0.53,149.953,276333.0,1
0.395,0.963,-4.361000000000001,0.103,0.0003399999999999,0.000303,0.114,0.513,120.729,321040.0,0
0.925,0.591,-5.662999999999999,0.157,0.0193,0.0,0.108,0.158,142.047,-1.0,1
0.557,0.525,-6.324,0.149,0.524,0.0,0.113,0.362,153.247,-1.0,1
0.32,0.0681,-21.389,0.0446,0.976,0.0939,0.141,0.161,78.04,345427.0,0
77.0,82.0,-5.0,5.0,18.0,,70.0,63.0,130.0,213.0,1
0.906,0.444,-8.692,0.384,0.136,6.440000000000001e-05,0.173,0.6779999999999999,140.063,235040.0,1
0.4479999999999999,0.0828,-18.007,0.0348,0.96,0.000277,0.146,0.216,79.082,186286.0,0
0.495,0.3429999999999999,-11.733,0.0323,0.86,0.0814,0.283,0.648,137.518,125058.0,0
0.785,0.62,-6.667999999999999,0.254,0.0138,0.0,0.15,0.478,78.476,235535.0,1
0.129,0.0207,-31.859,0.0433,0.8809999999999999,0.0184,0.1369999999999999,0.0473,74.22,226733.0,0
49.0,80.0,-4.0,5.0,1.0,,6.0,48.0,149.0,199.0,1
0.901,0.522,-8.304,0.33,0.0114,0.0,0.259,0.3289999999999999,104.053,127947.0,1
0.75,0.413,-11.482,0.0688,0.0539,0.0662,0.151,0.325,80.777,37707.0,0
78.0,75.0,-6.0,3.0,20.0,,36.0,33.0,130.0,269.0,1
0.765,0.855,-5.166,0.361,0.0173,0.0,0.441,0.424,149.987,110518.0,0
64.0,65.0,-8.0,19.0,12.0,,8.0,55.0,93.0,198.0,1
0.4639999999999999,0.852,-3.804,0.067,0.0116,0.0,0.108,0.233,160.075,239507.0,1
0.852,0.5529999999999999,-7.286,0.187,0.0563,0.0,0.332,0.6559999999999999,142.072,205879.0,1
0.1939999999999999,0.2689999999999999,-12.625,0.0396,0.98,0.716,0.0566,0.0796,84.012,506173.0,0
0.5589999999999999,0.588,-11.298,0.0366,0.62,0.00208,0.581,0.8490000000000001,0.0,204107.0,0
0.871,0.7509999999999999,-8.042,0.0788,0.00391,0.0,0.0853,0.787,139.984,178720.0,1
0.642,0.648,-7.757999999999999,0.0694,0.83,0.011,0.0784,0.8690000000000001,0.0,167893.0,0
0.507,0.168,-18.313,0.0556,0.933,0.893,0.124,0.285,79.613,211440.0,0
0.365,0.7509999999999999,-5.428999999999999,0.304,0.000707,0.0,0.318,0.604,79.119,248587.0,1
0.356,0.872,-7.837000000000001,0.068,0.00417,0.00975,0.0997,0.607,166.3,193653.0,1
0.4679999999999999,0.201,-17.024,0.0388,0.915,8.28e-05,0.0952,0.3829999999999999,94.42200000000001,188800.0,1
0.4029999999999999,0.956,-7.376,0.0732,0.017,7.09e-05,0.0893,0.561,157.70600000000002,148573.0,1
0.505,0.745,-5.895,0.43,0.2339999999999999,0.0,0.187,0.501,178.66,365333.0,0
0.802,0.412,-5.962999999999999,0.0478,0.124,0.0,0.103,0.3939999999999999,89.546,245520.0,1
0.108,0.0969,-22.114,0.0408,0.971,0.659,0.0902,0.0392,81.025,723227.0,0
37.0,50.0,-9.0,12.0,6.0,,20.0,21.0,167.0,180.0,1
0.412,0.882,-5.54,0.0369,5.96e-05,0.00031,0.0805,0.356,158.066,250547.0,1
0.685,0.584,-10.616,0.0276,0.288,0.0091799999999999,0.124,0.939,134.546,302413.0,1
0.7859999999999999,0.65,-6.839,0.109,0.363,8.170000000000001e-05,0.122,0.7120000000000001,92.975,129040.0,1
0.708,0.843,-2.66,0.314,0.397,0.0,0.799,0.625,148.14,363521.0,1
0.505,0.397,-9.349,0.324,0.716,0.0,0.0853,0.5579999999999999,95.06299999999999,219683.0,1
0.5329999999999999,0.638,-9.411,0.0636,0.0385,0.000932,0.0758,0.324,135.056,207587.0,1
0.743,0.87,-2.188,0.212,0.0595,0.0,0.299,0.884,99.075,194184.0,1
0.777,0.0513,-15.671,0.1689999999999999,0.72,0.922,0.108,0.5479999999999999,80.14699999999999,105953.0,0
0.455,0.948,-4.775,0.0832,0.0006219999999999,1.06e-06,0.0861,0.45,151.918,198467.0,0
0.777,0.478,-6.356,0.0501,0.315,0.0,0.0979,0.14,100.03399999999999,214256.0,0
0.676,0.842,-5.98,0.239,0.0578,0.00137,0.209,0.388,140.142,134857.0,1
0.67,0.96,-9.371,0.0596,0.0179,0.64,0.122,0.605,126.31200000000001,220080.0,0
0.4379999999999999,0.906,-8.673,0.0397,1.36e-05,0.0321,0.188,0.674,119.698,-1.0,0
0.792,0.5710000000000001,-7.539,0.094,0.301,0.0,0.1,0.556,99.999,139200.0,1
